R_bc_vol,R_bc_Mass,Eabs_532,Eabs_405,Eabs_632,Core_VED,Core_Volume,Mask_CoatingType
NAN,0.018181818,NAN,NAN,NAN,167.1323487,2.44E-15,NAN
NAN,0.013452915,NAN,NAN,NAN,167.888614,2.48E-15,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,-0.001715266,NAN,NAN,NAN,183.5689156,3.24E-15,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,0.012820513,NAN,NAN,NAN,135.4092222,1.30E-15,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,0,NAN,NAN,NAN,206.5074172,4.61E-15,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,0,NAN,NAN,NAN,167.2588683,2.45E-15,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,0.013100437,NAN,NAN,NAN,134.437817,1.27E-15,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,0.116591928,NAN,NAN,NAN,133.2532812,1.24E-15,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,0.122171946,NAN,NAN,NAN,132.8537188,1.23E-15,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,0.102678571,NAN,NAN,NAN,133.452167,1.24E-15,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,0.090909091,NAN,NAN,NAN,134.8280595,1.28E-15,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,0,NAN,NAN,NAN,135.4092222,1.30E-15,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,1
NAN,3.615384615,NAN,NAN,NAN,167.3851968,2.46E-15,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,1
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,0.323529412,NAN,NAN,NAN,167.3851968,2.46E-15,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,0.795801527,NAN,NAN,NAN,177.1549887,2.91E-15,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,0.161073826,NAN,NAN,NAN,146.7737461,1.66E-15,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
1.630982828,1.268542199,NAN,NAN,NAN,160.6824864,2.17E-15,1
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,1
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
5.142857143,4,1.58005592,1.572346775,1.480913117,158.0364519,2.07E-15,1
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
5.982770998,4.653266332,1.630162473,1.629643879,1.602329296,161.6357099,2.21E-15,1
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,1
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,1
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,1
7.738749622,6.019027484,1.726580902,1.748474715,1.836734694,171.2103458,2.63E-15,1
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
4.332533013,3.369747899,1.452609598,1.450648554,1.325422828,155.8830984,1.98E-15,1
NAN,NAN,NAN,NAN,NAN,NAN,NAN,1
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,1
0.750267189,0.583541147,1.132203291,1.148568608,1.082236237,162.0408136,2.23E-15,1
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,1
5.677484787,4.415821501,1.636735,1.690257161,1.685470697,173.5902242,2.74E-15,1
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,1
1.446070633,1.124721604,1.228522617,1.232555591,1.158992395,168.264205,2.49E-15,1
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,1
1.824136153,1.418772563,1.309471058,1.327637713,1.238884058,180.4732666,3.08E-15,1
6.785836805,5.27787307,1.631032664,1.67698976,1.721367101,183.5689156,3.24E-15,1
NAN,NAN,NAN,NAN,NAN,NAN,NAN,1
NAN,NAN,NAN,NAN,NAN,NAN,NAN,1
5.722482436,4.450819672,1.601774424,1.611473293,1.598388347,137.3112855,1.36E-15,1
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,1
7.631336406,5.935483871,1.712879934,1.65419332,1.678746295,138.0575571,1.38E-15,1
NAN,NAN,NAN,NAN,NAN,NAN,NAN,1
6.402399128,4.979643766,1.59292626,1.628463733,1.574338852,160.955989,2.18E-15,1
NAN,NAN,NAN,NAN,NAN,NAN,NAN,0
NAN,NAN,NAN,NAN,NAN,NAN,NAN,0
8.537142857,6.64,1.621787758,1.612240482,1.506122213,138.4276864,1.39E-15,1
NAN,NAN,NAN,NAN,NAN,NAN,NAN,1
NAN,NAN,NAN,NAN,NAN,NAN,NAN,1
9.668385766,7.519855596,1.706005478,1.64624341,1.695206454,143.2417266,1.54E-15,1
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
12.45332646,9.685920578,1.678655228,1.707112306,1.828603751,143.2417266,1.54E-15,1
NAN,NAN,NAN,NAN,NAN,NAN,NAN,1
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,1
1.308074534,1.017391304,1.168489887,1.216709273,1.170224507,182.7253935,3.19E-15,1
2.916376307,2.268292683,1.357020963,1.360430614,1.266748271,163.244131,2.28E-15,1
NAN,NAN,NAN,NAN,NAN,NAN,NAN,1
NAN,NAN,NAN,NAN,NAN,NAN,NAN,1
1.251386963,0.973300971,1.158752526,1.164383576,1.167935166,163.5091382,2.29E-15,1
NAN,NAN,NAN,NAN,NAN,NAN,NAN,1
2.546382189,1.980519481,1.197294697,1.263447459,1.099902862,117.7831589,8.56E-16,1
NAN,NAN,NAN,NAN,NAN,NAN,NAN,1
0.622119816,0.483870968,1.090325603,1.062781995,1.059186602,118.037551,8.61E-16,1
0.732467532,0.56969697,1.069611262,1.06994208,1.02624398,120.5232791,9.17E-16,1
NAN,NAN,NAN,NAN,NAN,NAN,NAN,1
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,1
0.495173745,0.385135135,1.019299658,1.013928362,1.0330563,116.2332004,8.22E-16,1
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,0
NAN,NAN,NAN,NAN,NAN,NAN,NAN,0
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,0.485861183,NAN,NAN,NAN,NAN,NAN,NAN
NAN,0.474860335,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,0.43767313,NAN,NAN,NAN,156.4631339,2.01E-15,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,0.915742794,NAN,NAN,NAN,168.5136704,2.51E-15,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,4.901162791,NAN,NAN,NAN,153.9675166,1.91E-15,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,5.405063291,NAN,NAN,NAN,161.2285653,2.19E-15,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,4.052083333,NAN,NAN,NAN,159.717817,2.13E-15,NAN
NAN,5.243902439,NAN,NAN,NAN,163.244131,2.28E-15,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,5.00867679,NAN,NAN,NAN,169.7500585,2.56E-15,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,0,NAN,NAN,NAN,NAN,NAN,NAN
NAN,0,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,4.437665782,NAN,NAN,NAN,158.7413518,2.09E-15,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,0.647058824,NAN,NAN,NAN,162.9782606,2.27E-15,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,4.443686007,NAN,NAN,NAN,183.8832466,3.26E-15,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,3.08997955,NAN,NAN,NAN,173.1194687,2.72E-15,NAN
NAN,0.874734607,NAN,NAN,NAN,170.9686936,2.62E-15,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,0.454545455,NAN,NAN,NAN,155.1519287,1.96E-15,NAN
